Robots,Repetition,WallTime(s),CPU(%),MaxMem(kB),ArgosCPU(%),Ros2CPU(%),ArgosMem(kB),Ros2Mem(kB)
10,1,11.60,16,82048,9,7,45696,36352
10,2,11.61,17,82244,10,7,45312,36932
10,3,11.59,16,82476,9,7,45696,36780
10,4,11.57,17,82480,10,7,45312,37168
10,5,11.57,17,83660,10,7,46464,37196
10,6,11.59,17,82560,10,7,45696,36864
10,7,11.57,16,82692,9,7,45696,36996
10,8,11.56,17,82048,10,7,45888,36160
10,9,11.59,17,83344,10,7,46080,37264
10,10,11.57,16,82352,9,7,45696,36656
20,1,22.03,22,96592,11,11,59904,36688
20,2,22.04,22,96140,11,11,59136,37004
20,3,22.06,22,96700,11,11,59712,36988
20,4,22.06,22,95604,11,11,59520,36084
20,5,22.06,22,95924,11,11,59904,36020
20,6,22.02,22,96664,11,11,59904,36760
20,7,22.07,22,96768,11,11,59904,36864
20,8,22.04,22,96464,11,11,59328,37136
20,9,22.05,22,96624,11,11,59904,36720
20,10,22.02,21,96512,10,11,59904,36608
40,1,43.15,40,146252,16,24,108480,37772
40,2,43.14,40,144092,16,24,106944,37148
40,3,43.14,40,144244,16,24,106944,37300
40,4,43.17,45,144520,18,27,107328,37192
40,5,43.16,40,144068,16,24,106560,37508
40,6,43.13,40,144456,16,24,107328,37128
40,7,43.14,43,143048,17,26,106176,36872
40,8,43.14,41,145624,16,25,108480,37144
40,9,43.17,43,143880,17,26,106752,37128
40,10,43.17,43,144020,17,26,107136,36884
80,1,85.31,51,220724,18,33,182412,38312
80,2,85.40,52,221444,18,34,182712,38732
80,3,85.39,52,220948,18,34,182400,38548
80,4,85.44,54,221368,19,35,182476,38892
80,5,85.34,51,221680,18,33,182400,39280
80,6,85.29,51,222416,18,33,182708,39708
80,7,85.43,54,220740,19,35,182376,38364
80,8,85.41,53,222072,19,34,182968,39104
80,9,85.35,51,221916,18,33,182684,39232
80,10,85.44,57,222972,20,37,184480,38492
160,1,170.96,77,396356,23,54,353884,42472
160,2,170.94,74,399092,22,52,355244,43848
160,3,170.90,73,397040,22,51,353324,43716
160,4,170.84,74,397040,22,52,353692,43348
160,5,170.53,71,398556,21,50,355296,43260
160,6,170.94,74,397180,22,52,353656,43524
160,7,170.85,74,398376,22,52,354772,43604
160,8,170.95,75,396628,22,53,354196,42432
160,9,170.70,74,395356,22,52,351676,43680
160,10,170.92,75,395960,22,53,352700,43260
320,1,342.41,103,730124,27,76,680776,49348
320,2,342.55,103,736936,27,76,686488,50448
320,3,342.53,102,730392,27,75,679492,50900
320,4,342.43,103,734260,27,76,683816,50444
320,5,342.67,105,730904,28,77,680620,50284
320,6,342.42,103,730660,27,76,680088,50572
320,7,342.40,103,729476,27,76,678724,50752
320,8,342.26,103,731464,27,76,681396,50068
320,9,342.97,103,723456,27,76,673204,50252
320,10,342.54,103,733332,27,76,683060,50272
640,1,691.13,169,1424484,38,131,1357536,66948
640,2,691.00,169,1434100,38,131,1367060,67040
640,3,690.53,168,1430920,37,131,1363712,67208
640,4,690.76,167,1422568,37,130,1355284,67284
640,5,690.93,168,1418176,38,130,1350896,67280
640,6,690.97,169,1422748,38,131,1355740,67008
640,7,690.57,169,1423660,38,131,1356016,67644
640,8,691.16,169,1428712,38,131,1361144,67568
640,9,691.52,171,1407716,38,133,1340812,66904
640,10,691.61,172,1414096,38,134,1347416,66680
1280,1,1406.92,323,2754364,58,265,2650852,103512
1280,2,1406.88,325,2812120,59,266,2708376,103744
1280,3,1407.37,324,2811484,59,265,2707704,103780
1280,4,1407.34,326,2806608,59,267,2702080,104528
1280,5,1407.87,326,2811752,59,267,2708004,103748
1280,6,1407.30,324,2798552,59,265,2695084,103468
1280,7,1407.82,326,2812268,59,267,2707936,104332
1280,8,1406.69,325,2814396,59,266,2710212,104184
1280,9,1408.09,327,2808284,60,267,2704480,103804
1280,10,1407.61,325,2796572,59,266,2693364,103208
